Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,7,70.0,0.0535714285714286
Query 2,5,50.0,-1.7999999999999998
Query 3,10,100.0,0.9272727272727272
Query 4,6,60.0,0.8
Query 5,4,40.0,0.9
Query 6,8,80.0,0.7142857142857143
Query 7,8,80.0,0.26190476190476186
Query 8,5,50.0,-0.95
Query 9,4,40.0,-3.5999999999999996
Query 10,6,60.0,-0.22857142857142865
Query 11,8,80.0,0.9047619047619048
Query 12,6,60.0,0.7142857142857143
Query 13,8,80.0,0.8333333333333334
Query 14,9,90.0,0.85
Query 15,7,70.0,0.6607142857142857
Query 16,5,50.0,-1.1
Query 17,8,80.0,0.5476190476190477
Query 18,5,50.0,-2.45
Query 19,9,90.0,0.95
Query 20,8,80.0,0.7619047619047619
Query 21,5,50.0,0.8
Query 22,7,70.0,0.8571428571428572
Query 23,9,90.0,0.32499999999999996
Query 24,7,70.0,0.9107142857142857
Query 25,7,70.0,0.2321428571428571
Query 26,8,80.0,0.9761904761904762
27,1,10.0,0
Query 28,5,50.0,0.30000000000000004
Query 29,8,80.0,0.6785714285714286
Query 30,8,80.0,0.3928571428571429
Query 31,6,60.0,0.37142857142857144
Query 32,3,30.0,-0.5
Query 33,9,90.0,0.6083333333333334
Query 34,10,100.0,0.7696969696969697
Query 35,7,70.0,0.4642857142857143
Query 36,6,60.0,0.8285714285714285
Query 37,5,50.0,0.65
Query 38,8,80.0,0.5595238095238095
Query 39,6,60.0,0.17142857142857137
Query 40,6,60.0,-0.1428571428571428
Query 41,8,80.0,0.7738095238095238
Query 42,6,60.0,-0.19999999999999996
Query 43,4,40.0,0.0
Query 44,9,90.0,0.2416666666666667
Query 45,4,40.0,-0.8
Query 46,6,60.0,-0.08571428571428563
Query 47,7,70.0,0.7321428571428572
Query 48,9,90.0,0.8916666666666666
Query 49,9,90.0,0.3583333333333333
Query 50,8,80.0,0.5952380952380952
Query 51,9,90.0,0.8916666666666666
Query 52,8,80.0,0.7619047619047619
Query 53,8,80.0,0.6190476190476191
Query 54,3,30.0,-10.0
Query 55,6,60.0,0.22857142857142854
Query 56,9,90.0,0.6166666666666667
Query 57,7,70.0,1.0
Query 58,8,80.0,0.7261904761904762
Query 59,4,40.0,-4.7
Query 60,7,70.0,0.8392857142857143
Query 61,7,70.0,0.7142857142857143
Query 62,8,80.0,0.7619047619047619
Query 63,9,90.0,0.9166666666666666
Query 64,8,80.0,0.8452380952380952
Query 65,9,90.0,0.8833333333333333
Query 66,5,50.0,0.95
Query 67,6,60.0,0.8571428571428572
Query 68,6,60.0,0.9428571428571428
Query 69,5,50.0,0.30000000000000004
Query 70,7,70.0,0.75
Query 71,9,90.0,0.7666666666666666
Query 72,7,70.0,0.7321428571428572
Query 73,3,30.0,0.25
Query 74,5,50.0,-0.050000000000000044
Query 75,7,70.0,0.7321428571428572
Query 76,9,90.0,0.9583333333333334
Query 77,7,70.0,0.9285714285714286
Query 78,8,80.0,0.8214285714285714
Query 79,9,90.0,0.9083333333333333
Query 80,6,60.0,0.08571428571428574
Query 81,6,60.0,0.7714285714285715
Query 82,6,60.0,0.6571428571428571
Query 83,7,70.0,0.6071428571428572
Query 84,7,70.0,0.1071428571428571
Query 85,5,50.0,0.0
Query 86,6,60.0,0.9714285714285714
Query 87,8,80.0,0.8809523809523809
Query 88,7,70.0,0.0
Query 89,8,80.0,0.7976190476190477
Query 90,7,70.0,0.8035714285714286
Query 91,5,50.0,0.5
Query 92,7,70.0,0.75
Query 93,8,80.0,0.7857142857142857
Query 94,6,60.0,0.9142857142857143
Query 95,8,80.0,0.9166666666666666
Query 96,6,60.0,-0.17142857142857149
Query 97,7,70.0,0.9642857142857143
Query 98,2,20.0,-1.0
Query 99,4,40.0,-0.8999999999999999
Query 100,4,40.0,-6.5
Averages,6.7,67.0,0.18405303030303036
